# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
"DateTime","Site_ID","Minidot_SN","Battery","Temperature","Dissolved_Oxygen","Dissolved_Oxygen_Saturation"
" 2021-08-30 14:56:00","S19E",412314,3.5,18.65,8.269,88.51
" 2021-08-30 14:57:00","S19E",412314,3.5,18.66,8.28,88.65
" 2021-08-30 14:58:00","S19E",412314,3.5,18.66,8.273,88.58
" 2021-08-30 14:59:00","S19E",412314,3.5,18.69,8.263,88.52
" 2021-08-30 15:00:00","S19E",412314,3.5,18.67,8.278,88.65
" 2021-08-30 15:01:00","S19E",412314,3.5,18.69,8.282,88.72
" 2021-08-30 15:02:00","S19E",412314,3.5,18.72,8.266,88.6
" 2021-08-30 15:03:00","S19E",412314,3.5,18.7,8.272,88.63
" 2021-08-30 15:04:00","S19E",412314,3.5,18.71,8.27,88.62
" 2021-08-30 15:05:00","S19E",412314,3.5,18.72,8.27,88.64
" 2021-08-30 15:06:00","S19E",412314,3.5,18.72,8.279,88.74
" 2021-08-30 15:07:00","S19E",412314,3.5,18.73,8.265,88.62
" 2021-08-30 15:08:00","S19E",412314,3.5,18.72,8.271,88.66
" 2021-08-30 15:09:00","S19E",412314,3.5,18.72,8.266,88.61
" 2021-08-30 15:10:00","S19E",412314,3.5,18.73,8.269,88.66
" 2021-08-30 15:11:00","S19E",412314,3.5,18.72,8.276,88.7
" 2021-08-30 15:12:00","S19E",412314,3.5,18.73,8.269,88.66
" 2021-08-30 15:13:00","S19E",412314,3.5,18.73,8.27,88.67
" 2021-08-30 15:14:00","S19E",412314,3.5,18.73,8.266,88.63
" 2021-08-30 15:15:00","S19E",412314,3.5,18.74,8.261,88.59
" 2021-08-30 15:16:00","S19E",412314,3.5,18.75,8.264,88.63
" 2021-08-30 15:17:00","S19E",412314,3.5,18.74,8.26,88.58
" 2021-08-30 15:18:00","S19E",412314,3.5,18.73,8.273,88.7
" 2021-08-30 15:19:00","S19E",412314,3.5,18.73,8.264,88.61
" 2021-08-30 15:20:00","S19E",412314,3.5,18.73,8.266,88.63
" 2021-08-30 15:21:00","S19E",412314,3.5,18.73,8.265,88.62
" 2021-08-30 15:22:00","S19E",412314,3.5,18.74,8.254,88.51
" 2021-08-30 15:23:00","S19E",412314,3.5,18.71,8.262,88.54
" 2021-08-30 15:24:00","S19E",412314,3.5,18.72,8.261,88.56
" 2021-08-30 15:25:00","S19E",412314,3.5,18.71,8.273,88.66
" 2021-08-30 15:26:00","S19E",412314,3.5,18.7,8.257,88.47
" 2021-08-30 15:27:00","S19E",412314,3.5,18.69,8.262,88.51
" 2021-08-30 15:28:00","S19E",412314,3.5,18.71,8.254,88.45
" 2021-08-30 15:29:00","S19E",412314,3.5,18.68,8.273,88.61
" 2021-08-30 15:30:00","S19E",412314,3.5,18.69,8.261,88.5
" 2021-08-30 15:31:00","S19E",412314,3.5,18.67,8.269,88.55
" 2021-08-30 15:32:00","S19E",412314,3.5,18.7,8.258,88.48
" 2021-08-30 15:33:00","S19E",412314,3.5,18.69,8.262,88.51
" 2021-08-30 15:34:00","S19E",412314,3.5,18.67,8.258,88.44
" 2021-08-30 15:35:00","S19E",412314,3.5,18.67,8.269,88.55
" 2021-08-30 15:36:00","S19E",412314,3.5,18.67,8.261,88.47
" 2021-08-30 15:37:00","S19E",412314,3.5,18.67,8.259,88.45
" 2021-08-30 15:38:00","S19E",412314,3.5,18.66,8.26,88.44
" 2021-08-30 15:39:00","S19E",412314,3.5,18.66,8.254,88.38
" 2021-08-30 15:40:00","S19E",412314,3.5,18.66,8.267,88.5
" 2021-08-30 15:41:00","S19E",412314,3.5,18.66,8.266,88.49
" 2021-08-30 15:42:00","S19E",412314,3.5,18.66,8.262,88.45
" 2021-08-30 15:43:00","S19E",412314,3.5,18.67,8.262,88.48
" 2021-08-30 15:44:00","S19E",412314,3.5,18.66,8.261,88.45
" 2021-08-30 15:45:00","S19E",412314,3.49,18.65,8.262,88.43
" 2021-08-30 15:46:00","S19E",412314,3.5,18.65,8.267,88.49
" 2021-08-30 15:47:00","S19E",412314,3.49,18.66,8.255,88.39
" 2021-08-30 15:48:00","S19E",412314,3.49,18.65,8.268,88.5
" 2021-08-30 15:49:00","S19E",412314,3.5,18.64,8.263,88.43
" 2021-08-30 15:50:00","S19E",412314,3.5,18.65,8.258,88.39
" 2021-08-30 15:51:00","S19E",412314,3.49,18.64,8.264,88.44
" 2021-08-30 15:52:00","S19E",412314,3.49,18.61,8.273,88.49
" 2021-08-30 15:53:00","S19E",412314,3.49,18.61,8.262,88.37
" 2021-08-30 15:54:00","S19E",412314,3.5,18.6,8.261,88.33
" 2021-08-30 15:55:00","S19E",412314,3.49,18.59,8.258,88.28
" 2021-08-30 15:56:00","S19E",412314,3.5,18.59,8.256,88.26
" 2021-08-30 15:57:00","S19E",412314,3.49,18.57,8.258,88.25
" 2021-08-30 15:58:00","S19E",412314,3.49,18.59,8.247,88.17
" 2021-08-30 15:59:00","S19E",412314,3.5,18.58,8.253,88.22
" 2021-08-30 16:00:00","S19E",412314,3.49,18.56,8.248,88.13
" 2021-08-30 16:01:00","S19E",412314,3.49,18.56,8.267,88.32
" 2021-08-30 16:02:00","S19E",412314,3.49,18.54,8.261,88.23
" 2021-08-30 16:03:00","S19E",412314,3.49,18.52,8.271,88.3
" 2021-08-30 16:04:00","S19E",412314,3.5,18.54,8.257,88.18
" 2021-08-30 16:05:00","S19E",412314,3.5,18.51,8.27,88.28
" 2021-08-30 16:06:00","S19E",412314,3.5,18.51,8.265,88.22
" 2021-08-30 16:07:00","S19E",412314,3.49,18.54,8.259,88.2
" 2021-08-30 16:08:00","S19E",412314,3.5,18.51,8.255,88.12
" 2021-08-30 16:09:00","S19E",412314,3.49,18.52,8.268,88.27
" 2021-08-30 16:10:00","S19E",412314,3.49,18.51,8.261,88.18
" 2021-08-30 16:11:00","S19E",412314,3.5,18.49,8.264,88.17
" 2021-08-30 16:12:00","S19E",412314,3.49,18.5,8.273,88.28
" 2021-08-30 16:13:00","S19E",412314,3.5,18.5,8.263,88.17
" 2021-08-30 16:14:00","S19E",412314,3.5,18.49,8.255,88.07
" 2021-08-30 16:15:00","S19E",412314,3.5,18.48,8.251,88.01
" 2021-08-30 16:16:00","S19E",412314,3.49,18.46,8.266,88.14
" 2021-08-30 16:17:00","S19E",412314,3.5,18.43,8.264,88.06
" 2021-08-30 16:18:00","S19E",412314,3.5,18.45,8.256,88.01
" 2021-08-30 16:19:00","S19E",412314,3.5,18.4,8.265,88.03
" 2021-08-30 16:20:00","S19E",412314,3.5,18.4,8.258,87.94
" 2021-08-30 16:21:00","S19E",412314,3.5,18.38,8.267,88
" 2021-08-30 16:22:00","S19E",412314,3.5,18.36,8.265,87.95
" 2021-08-30 16:23:00","S19E",412314,3.5,18.34,8.265,87.91
" 2021-08-30 16:24:00","S19E",412314,3.5,18.34,8.27,87.96
" 2021-08-30 16:25:00","S19E",412314,3.5,18.34,8.27,87.96
" 2021-08-30 16:26:00","S19E",412314,3.5,18.31,8.266,87.87
" 2021-08-30 16:27:00","S19E",412314,3.5,18.33,8.266,87.9
" 2021-08-30 16:28:00","S19E",412314,3.5,18.3,8.272,87.92
